Date,Open,High,Low,Close,Adj Close,Volume
2003-10-01,7825.410156,8064.990234,7775.799805,8064.830078,8064.830078,1516238200
2003-11-01,8064.879883,8660.209961,8064.879883,8554.480469,8554.480469,1617528000
2003-12-01,8553.339844,8805.370117,8300.950195,8795.280273,8795.280273,1167309200
2004-01-01,8795.280273,9690.129883,8776.969727,9428.769531,9428.769531,2297704600
2004-02-01,9429.980469,10192.940430,9429.980469,9991.799805,9991.799805,3241448400
2004-03-01,9992.480469,10555.000000,9723.870117,10517.500000,10517.500000,2486550800
2004-04-01,10517.500000,10894.320313,9948.129883,9948.129883,9948.129883,1749008900
2004-05-01,9948.129883,10351.320313,9423.990234,10036.290039,10036.290039,1758076200
2004-06-01,10036.290039,10369.030273,9900.389648,10281.820313,10281.820313,1229838200
2004-07-01,10281.950195,10297.910156,9816.620117,10116.389648,10116.389648,1320870600
2004-08-01,10115.959961,10265.080078,9789.419922,10264.320313,10264.320313,1273414800
2004-09-01,10264.169922,11038.290039,10261.219727,10957.370117,10957.370117,1832329400
2004-10-01,10962.259766,11564.450195,10862.250000,11564.349609,11564.349609,1651037600
2004-11-01,11564.629883,12261.019531,11558.959961,12102.549805,12102.549805,1475848800
2004-12-01,12102.700195,13032.700195,12044.799805,12917.879883,12917.879883,1376626000
2005-01-01,12917.879883,13167.080078,12192.320313,13097.120117,13097.120117,1546149800
2005-02-01,13097.190430,13893.099609,13094.629883,13789.459961,13789.459961,1614262600
2005-03-01,13789.459961,13931.320313,12465.719727,12676.900391,12676.900391,1334729200
2005-04-01,12676.900391,12848.599609,11727.509766,12322.990234,12322.990234,1404406600
2005-05-01,12322.990234,13202.040039,12321.780273,12964.389648,12964.389648,1608936400
2005-06-01,12964.389648,13725.790039,12959.610352,13486.129883,13486.129883,1595995800
2005-07-01,13486.129883,14453.839844,13451.750000,14409.660156,14409.660156,1867108800
2005-08-01,14409.660156,14897.080078,14000.139648,14243.190430,14243.190430,2441173200
2005-09-01,14256.080078,16130.490234,14256.080078,16120.080078,16120.080078,2258642000
